Time(s),CH1V,CH2V
-3.000000e-04,3.152533e+00,3.160800e+00
-2.980000e-04,3.141467e+00,3.167200e+00
-2.960000e-04,3.139333e+00,3.160800e+00
-2.940000e-04,3.152533e+00,3.171467e+00
-2.920000e-04,3.130400e+00,3.160800e+00
-2.900000e-04,3.134800e+00,3.171467e+00
-2.880000e-04,3.145867e+00,3.162933e+00
-2.860000e-04,3.134800e+00,3.162933e+00
-2.840000e-04,3.139333e+00,3.167200e+00
-2.820000e-04,3.143733e+00,3.158667e+00
-2.800000e-04,3.134800e+00,3.171467e+00
-2.780000e-04,3.148133e+00,3.152267e+00
-2.760000e-04,3.139333e+00,3.171467e+00
-2.740000e-04,3.141467e+00,3.160800e+00
-2.720000e-04,3.156933e+00,3.152267e+00
-2.700000e-04,3.134800e+00,3.160800e+00
-2.680000e-04,3.141467e+00,3.145867e+00
-2.660000e-04,3.145867e+00,3.169333e+00
-2.640000e-04,3.145867e+00,3.167200e+00
-2.620000e-04,3.134800e+00,3.171467e+00
-2.600000e-04,3.119333e+00,3.152267e+00
-2.580000e-04,3.145867e+00,3.162933e+00
-2.560000e-04,3.145867e+00,3.182133e+00
-2.540000e-04,3.156933e+00,3.162933e+00
-2.520000e-04,3.159200e+00,3.162933e+00
-2.500000e-04,3.137067e+00,3.173600e+00
-2.480000e-04,3.137067e+00,3.156533e+00
-2.460000e-04,3.134800e+00,3.171467e+00
-2.440000e-04,3.132667e+00,3.152267e+00
-2.420000e-04,3.152533e+00,3.160800e+00
-2.400000e-04,3.128267e+00,3.150133e+00
-2.380000e-04,3.145867e+00,3.169333e+00
-2.360000e-04,3.132667e+00,3.150133e+00
-2.340000e-04,3.148133e+00,3.156533e+00
-2.320000e-04,3.130400e+00,3.156533e+00
-2.300000e-04,3.145867e+00,3.169333e+00
-2.280000e-04,3.123867e+00,3.160800e+00
-2.260000e-04,3.123867e+00,3.167200e+00
-2.240000e-04,3.130400e+00,3.180000e+00
-2.220000e-04,3.148133e+00,3.152267e+00
-2.200000e-04,3.145867e+00,3.160800e+00
-2.180000e-04,3.132667e+00,3.177867e+00
-2.160000e-04,3.126000e+00,3.173600e+00
-2.140000e-04,3.137067e+00,3.167200e+00
-2.120000e-04,3.134800e+00,3.165067e+00
-2.100000e-04,3.143733e+00,3.190667e+00
-2.080000e-04,3.141467e+00,3.158667e+00
-2.060000e-04,3.123867e+00,3.169333e+00
-2.040000e-04,3.132667e+00,3.160800e+00
-2.020000e-04,3.145867e+00,3.152267e+00
-2.000000e-04,3.145867e+00,3.156533e+00
-1.980000e-04,3.119333e+00,3.150133e+00
-1.960000e-04,3.145867e+00,3.173600e+00
-1.940000e-04,3.126000e+00,3.154400e+00
-1.920000e-04,3.152533e+00,3.152267e+00
-1.900000e-04,3.119333e+00,3.162933e+00
-1.880000e-04,3.137067e+00,3.175733e+00
-1.860000e-04,3.121600e+00,3.177867e+00
-1.840000e-04,3.137067e+00,3.158667e+00
-1.820000e-04,3.143733e+00,3.167200e+00
-1.800000e-04,3.154800e+00,3.162933e+00
-1.780000e-04,3.123867e+00,3.171467e+00
-1.760000e-04,3.134800e+00,3.158667e+00
-1.740000e-04,3.126000e+00,3.160800e+00
-1.720000e-04,3.126000e+00,3.173600e+00
-1.700000e-04,3.123867e+00,3.148000e+00
-1.680000e-04,3.134800e+00,3.169333e+00
-1.660000e-04,3.145867e+00,3.182133e+00
-1.640000e-04,3.137067e+00,3.171467e+00
-1.620000e-04,3.132667e+00,3.165067e+00
-1.600000e-04,3.137067e+00,3.167200e+00
-1.580000e-04,3.130400e+00,3.156533e+00
-1.560000e-04,3.134800e+00,3.167200e+00
-1.540000e-04,3.156933e+00,3.165067e+00
-1.520000e-04,3.145867e+00,3.167200e+00
-1.500000e-04,3.128267e+00,3.171467e+00
-1.480000e-04,3.134800e+00,3.180000e+00
-1.460000e-04,3.141467e+00,3.175733e+00
-1.440000e-04,3.141467e+00,3.171467e+00
-1.420000e-04,3.132667e+00,3.152267e+00
-1.400000e-04,3.139333e+00,3.156533e+00
-1.380000e-04,3.145867e+00,3.167200e+00
-1.360000e-04,3.152533e+00,3.143733e+00
-1.340000e-04,3.128267e+00,3.177867e+00
-1.320000e-04,3.130400e+00,3.152267e+00
-1.300000e-04,3.132667e+00,3.162933e+00
-1.280000e-04,3.119333e+00,3.158667e+00
-1.260000e-04,3.141467e+00,3.167200e+00
-1.240000e-04,3.150267e+00,3.169333e+00
-1.220000e-04,3.150267e+00,3.177867e+00
-1.200000e-04,3.141467e+00,3.160800e+00
-1.180000e-04,3.134800e+00,3.171467e+00
-1.160000e-04,3.137067e+00,3.167200e+00
-1.140000e-04,3.143733e+00,3.156533e+00
-1.120000e-04,3.137067e+00,3.171467e+00
-1.100000e-04,3.123867e+00,3.148000e+00
-1.080000e-04,3.121600e+00,3.177867e+00
-1.060000e-04,3.143733e+00,3.156533e+00
-1.040000e-04,3.128267e+00,3.162933e+00
-1.020000e-04,3.154800e+00,3.173600e+00
-1.000000e-04,3.137067e+00,3.162933e+00
-9.800000e-05,3.137067e+00,3.148000e+00
-9.600000e-05,3.132667e+00,3.177867e+00
-9.400000e-05,3.126000e+00,3.160800e+00
-9.200000e-05,3.145867e+00,3.158667e+00
-9.000000e-05,3.132667e+00,3.160800e+00
-8.800000e-05,3.141467e+00,3.171467e+00
-8.600000e-05,3.159200e+00,3.156533e+00
-8.400000e-05,3.130400e+00,3.160800e+00
-8.200000e-05,3.137067e+00,3.167200e+00
-8.000000e-05,3.152533e+00,3.158667e+00
-7.800000e-05,3.130400e+00,3.171467e+00
-7.600000e-05,3.139333e+00,3.173600e+00
-7.400000e-05,3.156933e+00,3.173600e+00
-7.200000e-05,3.126000e+00,3.162933e+00
-7.000000e-05,3.137067e+00,3.160800e+00
-6.800000e-05,3.139333e+00,3.165067e+00
-6.600000e-05,3.145867e+00,3.169333e+00
-6.400000e-05,3.137067e+00,3.160800e+00
-6.200000e-05,3.152533e+00,3.162933e+00
-6.000000e-05,3.126000e+00,3.160800e+00
-5.800000e-05,3.132667e+00,3.160800e+00
-5.600000e-05,3.139333e+00,3.162933e+00
-5.400000e-05,3.139333e+00,3.165067e+00
-5.200000e-05,3.130400e+00,3.171467e+00
-5.000000e-05,3.148133e+00,3.167200e+00
-4.800000e-05,3.128267e+00,3.171467e+00
-4.600000e-05,3.134800e+00,3.152267e+00
-4.400000e-05,3.145867e+00,3.180000e+00
-4.200000e-05,3.123867e+00,3.173600e+00
-4.000000e-05,3.137067e+00,3.169333e+00
-3.800000e-05,3.130400e+00,3.171467e+00
-3.600000e-05,3.137067e+00,3.154400e+00
-3.400000e-05,3.139333e+00,3.160800e+00
-3.200000e-05,3.145867e+00,3.160800e+00
-3.000000e-05,3.143733e+00,3.171467e+00
-2.800000e-05,3.134800e+00,3.162933e+00
-2.600000e-05,3.134800e+00,3.177867e+00
-2.400000e-05,3.141467e+00,3.182133e+00
-2.200000e-05,3.114933e+00,3.165067e+00
-2.000000e-05,3.141467e+00,3.162933e+00
-1.800000e-05,3.141467e+00,3.160800e+00
-1.600000e-05,3.132667e+00,3.160800e+00
-1.400000e-05,3.148133e+00,3.177867e+00
-1.200000e-05,3.132667e+00,3.156533e+00
-1.000000e-05,3.431067e+00,3.180000e+00
-8.000000e-06,3.145867e+00,4.426667e-02
-6.000000e-06,3.130400e+00,5.920000e-02
-4.000000e-06,4.253333e-02,3.139333e+00
-2.000000e-06,2.040000e-02,3.173600e+00
-6.700031e-19,4.253333e-02,3.160800e+00
2.000000e-06,3.130400e+00,3.173600e+00
4.000000e-06,3.150267e+00,3.184267e+00
6.000000e-06,3.586667e-02,3.154400e+00
8.000000e-06,2.920000e-02,3.165067e+00
