Time(s),CH1V,CH2V
1.380000e-04,2.776800e+00,3.205600e+00
1.400000e-04,3.137067e+00,3.171467e+00
1.420000e-04,3.159200e+00,3.177867e+00
1.440000e-04,4.906667e-02,7.640000e-02
1.460000e-04,4.253333e-02,6.133333e-02
1.480000e-04,4.693333e-02,8.066667e-02
1.500000e-04,3.134800e+00,5.920000e-02
1.520000e-04,3.137067e+00,4.640000e-02
1.540000e-04,4.693333e-02,4.213334e-02
1.560000e-04,2.253333e-02,6.346667e-02
1.580000e-04,2.920000e-02,5.706667e-02
1.600000e-04,3.139333e+00,4.853334e-02
1.620000e-04,3.137067e+00,6.133333e-02
1.640000e-04,3.800000e-02,4.640000e-02
1.660000e-04,5.573333e-02,8.280000e-02
1.680000e-04,3.586667e-02,7.213333e-02
1.700000e-04,3.086267e+00,8.706667e-02
1.720000e-04,3.134800e+00,7.000000e-02
1.740000e-04,8.453333e-02,-1.950667e-01
1.760000e-04,4.026667e-02,6.786667e-02
1.780000e-04,-3.040000e-02,8.920000e-02
1.800000e-04,2.164533e+00,6.786667e-02
1.820000e-04,3.119333e+00,6.573334e-02
1.840000e-04,3.148133e+00,7.640000e-02
1.860000e-04,4.253333e-02,6.133333e-02
1.880000e-04,3.360000e-02,5.706667e-02
1.900000e-04,1.373333e-02,6.786667e-02
1.920000e-04,3.132667e+00,7.000000e-02
1.940000e-04,3.152533e+00,6.786667e-02
1.960000e-04,3.360000e-02,6.573334e-02
1.980000e-04,3.360000e-02,7.213333e-02
2.000000e-04,3.146667e-02,4.213334e-02
2.020000e-04,3.103867e+00,7.853334e-02
2.040000e-04,3.143733e+00,7.213333e-02
2.060000e-04,6.013333e-02,7.853334e-02
2.080000e-04,2.480000e-02,6.573334e-02
2.100000e-04,2.920000e-02,7.853334e-02
2.120000e-04,2.719333e+00,6.133333e-02
2.140000e-04,3.145867e+00,8.280000e-02
2.160000e-04,3.137067e+00,7.640000e-02
2.180000e-04,4.026667e-02,9.346667e-02
2.200000e-04,4.693333e-02,6.346667e-02
2.220000e-04,2.040000e-02,5.066667e-02
2.240000e-04,3.130400e+00,7.000000e-02
2.260000e-04,3.145867e+00,7.426666e-02
2.280000e-04,3.360000e-02,3.109467e+00
2.300000e-04,1.813333e-02,3.177867e+00
2.320000e-04,1.373333e-02,3.175733e+00
2.340000e-04,3.132667e+00,3.197067e+00
2.360000e-04,3.141467e+00,3.182133e+00
2.380000e-04,3.800000e-02,7.853334e-02
2.400000e-04,4.253333e-02,5.706667e-02
2.420000e-04,3.146667e-02,7.000000e-02
2.440000e-04,3.030933e+00,4.213334e-02
2.460000e-04,3.143733e+00,8.493333e-02
2.480000e-04,6.013333e-02,1.704000e-01
2.500000e-04,3.586667e-02,6.346667e-02
2.520000e-04,3.586667e-02,6.346667e-02
2.540000e-04,2.038533e+00,5.920000e-02
2.560000e-04,3.150267e+00,7.426666e-02
2.580000e-04,3.139333e+00,8.493333e-02
2.600000e-04,3.146667e-02,3.160800e+00
2.620000e-04,2.480000e-02,3.175733e+00
